IDPeticion;Codi;Nom;SSTT;DataPlanificada;Data tancament ;Excedent previst ;EXCENDENT que té el centre  ;Incidental pendent previst ;Equips en incidencia CENTRE ;Equips a recollir a la visita (excedents mès averiats) previst;equips retirats ;disposen del total del equips a retirar ?;e-Valisa necessària?;e-Valisa sol·licitada;e-Valisa rebuda;MOTIU discrepancia ;observacions;Columna1;;;;;;
2198653;25009733;INSTITUT JOAN SOLÀ;LLE;17/11/2025;17/11/2025;36;24;41;44;41;29;NO;SI;SI;SI;El centre ha lliurat l’equipament excedent a alumnat d’altres nivells.;lliurats a matricula viva ;;;;;;;
2198716;43010414;INSTITUT COSTER DE LA TORRE;PEN;18/11/2025;18/11/2025;17;0;64;77;64;77;SI;NO;;;;;;;;;;;
2198774;43002594;INSTITUT BAIX CAMP;TAR;18/11/2025;18/11/2025;36;0;83;122;83;122;SI;NO;;;;;;;;;;;
2198775;8067636;INSTITUT MANRESA SIS;CCE;18/11/2025;18/11/2025;25;21;21;21;25;21;NO;NO;;;El centre ha lliurat l’equipament excedent a alumnat d’altres nivells.;no saben a qui els han lliurat;;;;;;;
2198771;8053297;INSTITUT DE PALLEJÀ;BLL;18/11/2025;18/11/2025;48;49;45;49;48;49;SI;NO;;;;;;;;;;;
2198770;8043462;INSTITUT ERNEST LLUCH;CEB;18/11/2025;18/11/2025;68;19;63;19;68;19;NO;SI;SI;;El centre entrega mes equipament del previst , indicant que el te com a excedent;te mes incidental ;;;;;;;
2198780;8057540;INSTITUT JOAN BROSSA;CEB;19/11/2025;19/11/2025;24;0;61;57;61;57;NO;NO;;;El centre entrega mes equipament del previst , indicant que el te com a excedent;te mes incidental ;;;;;;;
2198779;8077289;INS ESC VILADECANS;BLL;19/11/2025;19/11/2025;26;0;45;40;45;40;NO;SI;SI;SI;El centre ha lliurat l’equipament excedent a alumnat d’altres nivells. no saben a qui els han lliurat;Assessor BLL: Han de comprovar que tinguin excedents reals d'aquest 5 portàtils que queden. Si els tenen localitzats, enviaran evalisa.;;;;;;;
2198782;43004611;INSTITUT JAUME HUGUET;TAR;19/11/2025;19/11/2025;15;15;75;99;75;99;SI;NO;;;;;;;;;;;
2198725;8042056;INSTITUT CAN PUIG;PEN;19/11/2025;19/11/2025;13;0;48;52;48;52;NO;NO;;;El centre ha lliurat l’equipament excedent a alumnat d’altres nivells.;no saben a qui els han lliurat;;;;;;;
2198784;8052891;INSTITUT L'ALT BERGUEDÀ;CCE;19/11/2025;19/11/2025;25;25;21;21;25;25;SI;NO;;;;;;;;;;;
2198776;8053145;INSTITUT CASTELLBISBAL;VOC;19/11/2025;19/11/2025;67;84;19;19;67;84;SI;NO;;;;;;;;;;;
